 Inner phase shift
   8.9509612349278588E-003
 Coulomb phase shift
   0.0000000000000000     
 #       R              P(R)            Q(R)
   4.93066190E-03  0.00000000E+00  0.00000000E+00
   5.02728250E-03  0.00000000E+00  0.00000000E+00
   5.12579410E-03  0.00000000E+00  0.00000000E+00
   5.22623370E-03  0.00000000E+00  0.00000000E+00
   5.32863910E-03  0.00000000E+00  0.00000000E+00
   5.43304860E-03  0.00000000E+00  0.00000000E+00
   5.53950150E-03  0.00000000E+00  0.00000000E+00
   5.64803780E-03  0.00000000E+00  0.00000000E+00
   5.75869820E-03  0.00000000E+00  0.00000000E+00
   5.87152430E-03  0.00000000E+00  0.00000000E+00
   5.98655840E-03  0.00000000E+00  0.00000000E+00
   6.10384380E-03  0.00000000E+00  0.00000000E+00
   6.22342440E-03  0.00000000E+00  0.00000000E+00
   6.34534520E-03  0.00000000E+00  0.00000000E+00
   6.46965190E-03  0.00000000E+00  0.00000000E+00
   6.59639120E-03  0.00000000E+00  0.00000000E+00
   6.72561070E-03  0.00000000E+00  0.00000000E+00
   6.85735890E-03  0.00000000E+00  0.00000000E+00
   6.99168520E-03  0.00000000E+00  0.00000000E+00
   7.12864010E-03  0.00000000E+00  0.00000000E+00
   7.26827500E-03  0.00000000E+00  0.00000000E+00
   7.41064230E-03  0.00000000E+00  0.00000000E+00
   7.55579540E-03  0.00000000E+00  0.00000000E+00
   7.70378880E-03  0.00000000E+00  0.00000000E+00
   7.85467810E-03  0.00000000E+00  0.00000000E+00
   8.00851990E-03  0.00000000E+00  0.00000000E+00
   8.16537190E-03  0.00000000E+00  0.00000000E+00
   8.32529300E-03  0.00000000E+00  0.00000000E+00
   8.48834320E-03  0.00000000E+00  0.00000000E+00
   8.65458370E-03  0.00000000E+00  0.00000000E+00
   8.82407680E-03  0.00000000E+00  0.00000000E+00
   8.99688620E-03  0.00000000E+00  0.00000000E+00
   9.17307680E-03  0.00000000E+00  0.00000000E+00
   9.35271450E-03  0.00000000E+00  0.00000000E+00
   9.53586680E-03  0.00000000E+00  0.00000000E+00
   9.72260250E-03  0.00000000E+00  0.00000000E+00
   9.91299160E-03  0.00000000E+00  0.00000000E+00
   1.01071050E-02  0.00000000E+00  0.00000000E+00
   1.03050170E-02  0.00000000E+00  0.00000000E+00
   1.05068000E-02  0.00000000E+00  0.00000000E+00
   1.07125310E-02  0.00000000E+00  0.00000000E+00
   1.09222870E-02  0.00000000E+00  0.00000000E+00
   1.11361450E-02  0.00000000E+00  0.00000000E+00
   1.13541880E-02  0.00000000E+00  0.00000000E+00
   1.15764960E-02  0.00000000E+00  0.00000000E+00
   1.18031520E-02  0.00000000E+00  0.00000000E+00
   1.20342420E-02  0.00000000E+00  0.00000000E+00
   1.22698530E-02  0.00000000E+00  0.00000000E+00
   1.25100720E-02  0.00000000E+00  0.00000000E+00
   1.27549900E-02  0.00000000E+00  0.00000000E+00
   1.30046980E-02  0.00000000E+00  0.00000000E+00
   1.32592910E-02  0.00000000E+00  0.00000000E+00
   1.35188630E-02  0.00000000E+00  0.00000000E+00
   1.37835120E-02  0.00000000E+00  0.00000000E+00
   1.40533380E-02  0.00000000E+00  0.00000000E+00
   1.43284400E-02  0.00000000E+00  0.00000000E+00
   1.46089230E-02  0.00000000E+00  0.00000000E+00
   1.48948910E-02  0.00000000E+00  0.00000000E+00
   1.51864520E-02  0.00000000E+00  0.00000000E+00
   1.54837140E-02  0.00000000E+00  0.00000000E+00
   1.57867900E-02  0.00000000E+00  0.00000000E+00
   1.60957920E-02  0.00000000E+00  0.00000000E+00
   1.64108370E-02  0.00000000E+00  0.00000000E+00
   1.67320420E-02  0.00000000E+00  0.00000000E+00
   1.70595280E-02  0.00000000E+00  0.00000000E+00
   1.73934180E-02  0.00000000E+00  0.00000000E+00
   1.77338360E-02  0.00000000E+00  0.00000000E+00
   1.80809100E-02  0.00000000E+00  0.00000000E+00
   1.84347700E-02  0.00000000E+00  0.00000000E+00
   1.87955480E-02  0.00000000E+00  0.00000000E+00
   1.91633800E-02  0.00000000E+00  0.00000000E+00
   1.95384020E-02  0.00000000E+00  0.00000000E+00
   1.99207570E-02  0.00000000E+00  0.00000000E+00
   2.03105860E-02  0.00000000E+00  0.00000000E+00
   2.07080350E-02  0.00000000E+00  0.00000000E+00
   2.11132540E-02  0.00000000E+00  0.00000000E+00
   2.15263940E-02  0.00000000E+00  2.36386871E-98
   2.19476090E-02  0.00000000E+00  6.22489253E-98
   2.23770570E-02  1.08281553E-98  1.63918038E-97
   2.28148990E-02  2.90231510E-98  4.31626576E-97
   2.32612980E-02  7.77916586E-98  1.13651515E-96
   2.37164220E-02  2.08506926E-97  2.99246232E-96
   2.41804400E-02  5.58863054E-97  7.87893035E-96
   2.46535270E-02  1.49792041E-96  2.07439801E-95
   2.51358580E-02  4.01484147E-96  5.46136616E-95
   2.56276150E-02  1.07608229E-95  1.43779229E-94
   2.61289800E-02  2.88415108E-95  3.78507851E-94
   2.66401430E-02  7.73014737E-95  9.96413220E-94
   2.71612920E-02  2.07181913E-94  2.62293302E-93
   2.76926240E-02  5.55279525E-94  6.90430010E-93
   2.82343370E-02  1.48821741E-93  1.81734003E-92
   2.87866330E-02  3.98855218E-93  4.78339520E-92
   2.93497180E-02  1.06895079E-92  1.25898168E-91
   2.99238030E-02  2.86479655E-92  3.31349180E-91
   3.05091020E-02  7.67755219E-92  8.72037560E-91
   3.11058330E-02  2.05751909E-91  2.29491520E-90
   3.17142200E-02  5.51388257E-91  6.03921991E-90
   3.23344900E-02  1.47762135E-90  1.58919586E-89
   3.29668730E-02  3.95967316E-90  4.18172137E-89
   3.36116070E-02  1.06107716E-89  1.10030957E-88
   3.42689300E-02  2.84330790E-89  2.89504196E-88
   3.49390900E-02  7.61888592E-89  7.61686893E-88
   3.56223360E-02  2.04149627E-88  2.00391271E-87
   3.63189210E-02  5.47007986E-88  5.27181792E-87
   3.70291080E-02  1.46564308E-87  1.38682902E-86
   3.77531590E-02  3.92690224E-87  3.64808010E-86
   3.84913450E-02  1.05210589E-86  9.59588537E-86
   3.92439410E-02  2.81874473E-86  2.52397214E-85
   4.00112280E-02  7.55159668E-86  6.63839098E-85
   4.07934910E-02  2.02305448E-85  1.74589860E-84
   4.15910220E-02  5.41953400E-85  4.59148405E-84
   4.24041170E-02  1.45178006E-84  1.20743594E-83
   4.32330810E-02  3.88888286E-84  3.17506645E-83
   4.40782200E-02  1.04167481E-83  8.34867420E-83
   4.49398500E-02  2.79012025E-83  2.19512113E-82
   4.58182910E-02  7.47302213E-83  5.77131806E-82
   4.67138710E-02  2.00148438E-82  1.51728509E-81
   4.76269220E-02  5.36030638E-82  3.98872458E-81
   4.85577840E-02  1.43551627E-81  1.04851666E-80
   4.95068030E-02  3.84420982E-81  2.75607178E-80
   5.04743320E-02  1.02940436E-80  7.24401332E-80
   5.14607310E-02  2.75641397E-80  1.90388697E-79
   5.24663660E-02  7.38042812E-80  5.00351913E-79
   5.34916100E-02  1.97604338E-79  1.31486663E-78
   5.45368450E-02  5.29040687E-79  3.45509157E-78
   5.56024580E-02  1.41630978E-78  9.07837590E-78
   5.66888460E-02  3.79143768E-78  2.38521490E-77
   5.77964110E-02  1.01490393E-77  6.26637814E-77
   5.89255650E-02  2.71657075E-77  1.64617213E-76
   6.00767250E-02  7.27094384E-77  4.32416433E-76
   6.12503200E-02  1.94596187E-76  1.13578888E-75
   6.24467850E-02  5.20775879E-76  2.98305218E-75
   6.36665620E-02  1.39360323E-75  7.83413003E-75
   6.49101040E-02  3.72905514E-75  2.05725019E-74
   6.61778710E-02  9.97766382E-75  5.40193052E-74
