 Inner phase shift
  -7.4436630690042332E-002
 Coulomb phase shift
   6.6559957353976501E-005
 #       R              P(R)            Q(R)
   8.17499530E-01  7.98525726E-20  3.48746153E-20
   8.23923374E-01  1.16580490E-19  5.04957696E-20
   8.30356806E-01  1.69739015E-19  7.29186736E-20
   8.36799718E-01  2.46472286E-19  1.05020056E-19
   8.43252006E-01  3.56941235E-19  1.50857466E-19
   8.49713569E-01  5.15559730E-19  2.16139244E-19
   8.56184303E-01  7.42721753E-19  3.08875688E-19
   8.62664110E-01  1.06720850E-18  4.40278977E-19
   8.69152891E-01  1.52953458E-18  6.26003824E-19
   8.75650550E-01  2.18658809E-18  8.87853614E-19
   8.82156990E-01  3.11804875E-18  1.25612095E-18
   8.88672117E-01  4.43524393E-18  1.77279077E-18
   8.95195839E-01  6.29333843E-18  2.49591331E-18
   9.01728065E-01  8.90807290E-18  3.50556007E-18
   9.08268704E-01  1.25786929E-17  4.91191680E-18
   9.14817667E-01  1.77192844E-17  6.86625432E-18
   9.21374866E-01  2.49014964E-17  9.57576644E-18
   9.27940217E-01  3.49126535E-17  1.33235919E-17
   9.34513632E-01  4.88346214E-17  1.84957701E-17
   9.41095029E-01  6.81505895E-17  2.56174507E-17
   9.47684325E-01  9.48893269E-17  3.54014234E-17
   9.54281438E-01  1.31819626E-16  4.88130190E-17
   9.60886287E-01  1.82711805E-16  6.71567110E-17
   9.67498795E-01  2.52688635E-16  9.21914243E-17
   9.74118881E-01  3.48695218E-16  1.26283733E-16
   9.80746470E-01  4.80126796E-16  1.72610968E-16
   9.87381485E-01  6.59665750E-16  2.35429908E-16
   9.94023852E-01  9.04395124E-16  3.20431509E-16
   1.00067350E+00  1.23727689E-15  4.35208212E-16
   1.00733034E+00  1.68911033E-15  5.89868312E-16
   1.01399433E+00  2.30112099E-15  7.97841992E-16
   1.02066537E+00  3.12837637E-15  1.07693666E-15
   1.02734340E+00  4.24428281E-15  1.45071595E-15
   1.03402836E+00  5.74649421E-15  1.95029792E-15
   1.04072017E+00  7.76465975E-15  2.61669534E-15
   1.04741877E+00  1.04705630E-14  3.50385549E-15
   1.05412409E+00  1.40913638E-14  4.68260059E-15
   1.06083607E+00  1.89268597E-14  6.24572602E-15
   1.06755464E+00  2.53719400E-14  8.31458373E-15
   1.07427973E+00  3.39457426E-14  1.10475670E-14
   1.08101129E+00  4.53294365E-14  1.46510253E-14
   1.08774926E+00  6.04150925E-14  1.93932783E-14
   1.09449357E+00  8.03687739E-14  2.56225754E-14
   1.10124415E+00  1.06711832E-13  3.37900690E-14
   1.10800096E+00  1.41425465E-13  4.44791467E-14
   1.11476394E+00  1.87084945E-13  5.84428137E-14
   1.12153302E+00  2.47031617E-13  7.66512484E-14
   1.12830815E+00  3.25592898E-13  1.00352189E-13
   1.13508927E+00  4.28363149E-13  1.31147478E-13
   1.14187632E+00  5.62561635E-13  1.71089911E-13
   1.14866926E+00  7.37487895E-13  2.22805563E-13
   1.15546802E+00  9.65100022E-13  2.89648017E-13
   1.16227256E+00  1.26074770E-12  3.75892476E-13
   1.16908282E+00  1.64409980E-12  4.86979659E-13
   1.17589874E+00  2.14031615E-12  6.29821690E-13
   1.18272029E+00  2.78152516E-12  8.13185123E-13
   1.18954739E+00  3.60868388E-12  1.04816968E-12
   1.19638002E+00  4.67391560E-12  1.34880567E-12
   1.20321811E+00  6.04344250E-12  1.73279818E-12
   1.21006161E+00  7.80125863E-12  2.22245266E-12
   1.21691048E+00  1.00537224E-11  2.84582400E-12
   1.22376468E+00  1.29352890E-11  3.63814093E-12
   1.23062414E+00  1.66156548E-11  4.64356865E-12
   1.23748884E+00  2.13086447E-11  5.91738651E-12
   1.24435871E+00  2.72832523E-11  7.52867403E-12
   1.25123372E+00  3.48773297E-11  9.56361859E-12
   1.25811382E+00  4.45145366E-11  1.21295822E-11
   1.26499896E+00  5.67252909E-11  1.53600935E-11
   1.27188911E+00  7.21726229E-11  1.94209654E-11
   1.27878421E+00  9.16840317E-11  2.45177811E-11
   1.28568423E+00  1.16290673E-10  3.09050389E-11
   1.29258912E+00  1.47275493E-10  3.88973077E-11
   1.29949885E+00  1.86232251E-10  4.88828117E-11
   1.30641336E+00  2.35137794E-10  6.13399494E-11
   1.31333263E+00  2.96440402E-10  7.68573490E-11
   1.32025660E+00  3.73167632E-10  9.61581805E-11
   1.32718525E+00  4.69057746E-10  1.20129581E-10
   1.33411852E+00  5.88719645E-10  1.49858216E-10
   1.34105639E+00  7.37827191E-10  1.86673191E-10
   1.34799880E+00  9.23354950E-10  2.32197756E-10
   1.35494574E+00  1.15386377E-09  2.88411501E-10
   1.36189715E+00  1.43984618E-09  3.57725080E-10
   1.36885300E+00  1.79414356E-09  4.43069823E-10
   1.37581326E+00  2.23244919E-09  5.48005079E-10
   1.38277788E+00  2.77391404E-09  6.76846570E-10
   1.38974684E+00  3.44187506E-09  8.34819680E-10
   1.39672009E+00  4.26472971E-09  1.02824221E-09
   1.40369760E+00  5.27698423E-09  1.26474201E-09
   1.41067934E+00  6.52050861E-09  1.55351564E-09
   1.41766528E+00  8.04603672E-09  1.90563557E-09
   1.42465537E+00  9.91495689E-09  2.33441422E-09
   1.43164959E+00  1.22014461E-08  2.85583493E-09
   1.43864790E+00  1.49950101E-08  3.48906142E-09
   1.44565027E+00  1.84035023E-08  4.25703902E-09
   1.45265667E+00  2.25567067E-08  5.18720341E-09
   1.45966707E+00  2.76105835E-08  6.31231465E-09
   1.46668143E+00  3.37522945E-08  7.67143747E-09
   1.47369972E+00  4.12061408E-08  9.31109164E-09
   1.48072192E+00  5.02405702E-08  1.12866003E-08
   1.48774799E+00  6.11764348E-08  1.36636674E-08
   1.49477790E+00  7.43967089E-08  1.65202219E-08
   1.50181162E+00  9.03579071E-08  1.99485691E-08
   1.50884912E+00  1.09603485E-07  2.40578977E-08
   1.51589038E+00  1.32779542E-07  2.89771980E-08
   1.52293536E+00  1.60653197E-07  3.48586519E-08
   1.52998404E+00  1.94134061E-07  4.18815670E-08
   1.53703638E+00  2.34299296E-07  5.02569361E-08
   1.54409236E+00  2.82422818E-07  6.02327118E-08
   1.55115196E+00  3.40009285E-07  7.20999027E-08
   1.55821514E+00  4.08833582E-07  8.61996076E-08
   1.56528188E+00  4.90986668E-07  1.02931120E-07
   1.57235215E+00  5.88928685E-07  1.22761257E-07
   1.57942592E+00  7.05550446E-07  1.46235073E-07
   1.58650318E+00  8.44244485E-07  1.73988161E-07
   1.59358388E+00  1.00898706E-06  2.06760740E-07
   1.60066801E+00  1.20443270E-06  2.45413785E-07
   1.60775555E+00  1.43602296E-06  2.90947444E-07
   1.61484646E+00  1.71011151E-06  3.44522068E-07
   1.62194072E+00  2.03410766E-06  4.07482161E-07
   1.62903831E+00  2.41664091E-06  4.81383640E-07
   1.63613920E+00  2.86774927E-06  5.68024806E-07
   1.64324337E+00  3.39909460E-06  6.69481480E-07
   1.65035079E+00  4.02420836E-06  7.88146822E-07
   1.65746145E+00  4.75877180E-06  9.26776378E-07
   1.66457531E+00  5.62093493E-06  1.08853897E-06
   1.67169236E+00  6.63167913E-06  1.27707413E-06
   1.67881257E+00  7.81522876E-06  1.49655677E-06
   1.68593592E+00  9.19951790E-06  1.75176995E-06
   1.69306239E+00  1.08167186E-05  2.04818666E-06
   1.70019195E+00  1.27038384E-05  2.39206147E-06
